eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
1.32174,118.317,117.04,118.317,117.04,1.41397,-1.04346,1.41397,-1.04346,62.4167,432.04,2.60488,0.370518,154.238,118.141,1.32174,-1.3594,126.986,537.617,
-0.916612,20.6796,88.8452,88.8452,20.6796,-0.271892,2.03457,2.03457,-0.271892,107.828,123.781,0.451894,-1.76268,248.232,234.299,-0.916612,2.02444,46.4539,1104.02,
-1.62572,33.8494,23.0676,33.8494,23.0676,-2.30995,1.37203,-2.30995,1.37203,12.6604,180.431,2.90355,0.937926,257.617,103.224,-1.62572,1.20906,180.231,706.41,
-0.276135,23.4596,36.9108,36.9108,23.4596,-0.25147,-1.04129,-1.04129,-0.25147,42.2976,49.2381,1.64227,-0.789818,547.051,384.333,-0.276135,-0.48056,168.991,920.776,
-0.968438,122.95,240.249,240.249,122.95,-1.00689,1.83573,1.83573,-1.00689,149.938,747.648,3.69191,-0.828844,318.91,159.306,-0.968438,1.63926,203.089,882.597,
-2.37933,67.3332,86.725,86.725,67.3332,0.815467,-1.7777,-1.7777,0.815467,36.5878,298.728,2.73274,-0.962232,183.376,133.243,-2.37933,1.27993,57.3157,998.842,
1.22065,227.405,104.122,227.405,104.122,-0.51868,1.24419,-0.51868,1.24419,134.095,432.037,3.48611,-0.725511,323.745,84.0607,1.22065,-1.25183,239.686,615.958,
-1.93551,105.798,222.713,222.713,105.798,1.15585,-0.105448,-0.105448,1.15585,169.765,349.034,3.96668,1.0504,230.763,75.42,-1.93551,-0.298467,218.713,322.852,
-0.605211,162.748,233.305,233.305,162.748,2.00627,-1.01555,-1.01555,2.00627,101.673,922.985,2.76366,0.99072,241.483,165.245,-0.605211,1.80037,88.1747,723.792,
0.645174,75.1555,103.436,103.436,75.1555,-2.17366,1.43564,1.43564,-2.17366,43.9074,549.36,2.75832,0.738021,95.2286,60.1157,0.645174,-1.67112,107.607,244.541,
0.57342,115.545,216.083,216.083,115.545,0.602867,-2.1205,-2.1205,0.602867,130.192,651.938,2.61193,-1.51763,262.94,35.6154,0.57342,-0.900069,231.421,245.063,
1.80012,114.241,194.676,194.676,114.241,-1.50635,1.10692,1.10692,-1.50635,80.726,591.18,3.18754,0.399432,116.642,37.9916,1.80012,1.02944,146.335,73.8346,
2.14102,50.8781,207.4,207.4,50.8781,-0.445355,1.24101,1.24101,-0.445355,157.981,282.097,3.35055,-0.79566,349.715,256.52,2.14102,-0.888285,188.807,1418.58,
-1.52724,54.4567,109.412,109.412,54.4567,1.02374,-0.792757,-0.792757,1.02374,60.5596,221.094,2.81046,0.230985,290.761,63.6366,-1.52724,2.43533,227.602,1005.17,
-1.54773,65.2285,186.191,186.191,65.2285,0.76442,-0.269094,-0.269094,0.76442,248.583,124.85,0.343405,0.495325,612.936,36.4658,-1.54773,-0.186764,626.204,280.652,
-0.810027,108.063,214.217,214.217,108.063,2.0927,-0.32387,-0.32387,2.0927,143.848,546.239,2.49222,1.76883,217.263,54.1085,-0.810027,1.40975,185.998,353.752,
-1.39468,85.5914,110.371,110.371,85.5914,1.40828,-1.46433,-1.46433,1.40828,25.6776,431.775,3.07232,-0.0560482,232.094,128.655,-1.39468,0.534482,117.951,516.261,
-0.147843,91.3181,503.878,503.878,91.3181,1.67201,-0.099634,-0.099634,1.67201,441.914,587.665,3.89779,1.57237,200.796,135.93,-0.147843,0.909348,263.314,278.562,
-2.33132,229.899,24.0266,229.899,24.0266,0.814956,-1.38931,0.814956,-1.38931,208.28,246.423,2.71351,-0.57435,166.786,36.6802,-2.33132,-0.400854,136.607,232.605,
1.27404,179.302,28.2349,179.302,28.2349,1.21485,-1.5275,1.21485,-1.5275,151.56,298.145,2.96975,-0.312646,288.323,239.016,1.27404,-0.922428,51.7888,874.693,
-0.0865768,94.3069,152.435,152.435,94.3069,-1.77135,-0.20689,-0.20689,-1.77135,202.119,251.004,1.26259,1.56446,441.497,203.478,-0.0865768,-2.4002,243.683,1046.07,
1.00081,104.814,128.548,128.548,104.814,1.28769,0.517178,0.517178,1.28769,71.2391,240.387,3.72865,0.770511,295.597,201.627,1.00081,1.20558,158.925,473.893,
0.784702,97.305,94.8443,97.305,94.8443,0.963614,-0.73227,0.963614,-0.73227,34.8767,263.155,3.50574,0.231344,216.964,132.945,0.784702,-2.05598,118.52,739.268,
0.626401,104.985,73.868,104.985,73.868,-1.1748,0.254997,-1.1748,0.254997,40.2249,221.621,2.85111,0.919803,422.272,109.464,0.626401,-0.517605,320.388,497.623,
-0.45198,351.911,157.125,351.911,157.125,-0.947089,1.15108,-0.947089,1.15108,199.11,752.582,2.96586,-0.203986,135.515,112.821,-0.45198,0.763535,38.3059,292.928,
0.732683,437.949,113.012,437.949,113.012,-0.61856,1.21241,-0.61856,1.21241,325.236,644.639,3.20427,-0.593851,452.791,120.528,0.732683,-0.529156,353.231,550.568,
1.0824,372.02,68.8972,372.02,68.8972,-0.492653,0.486135,-0.492653,0.486135,303.125,359.309,3.13567,0.00651725,299.372,70.1618,1.0824,-1.04192,254.883,456.064,
1.76229,66.1588,52.7001,66.1588,52.7001,1.31986,-1.25215,1.31986,-1.25215,48.2815,225.248,2.33461,0.0677116,51.8377,50.8777,1.76229,-1.46775,93.2329,251.906,
1.40444,73.5176,54.3711,73.5176,54.3711,2.02465,-1.29807,2.02465,-1.29807,103.096,329.762,1.28318,0.726582,301.014,198.575,1.40444,-1.00237,154.84,880.319,
1.30812,77.2001,130.813,130.813,77.2001,-2.33071,-1.10584,-1.10584,-2.33071,72.8503,234.745,2.6457,1.22487,123.876,114.356,1.30812,-2.27098,183.862,709.117,
-1.52249,106.183,192.656,192.656,106.183,1.11128,-1.50642,-1.50642,1.11128,123.359,561.255,2.51635,-0.395139,196.134,62.7849,-1.52249,1.5641,170.575,532.644,
-1.23815,27.7974,30.1241,30.1241,27.7974,2.26648,-0.652385,-0.652385,2.26648,41.2891,124.615,4.7271,1.61409,140.031,90.5994,-1.23815,1.83455,56.5664,547.111,
1.41526,41.1425,177.538,177.538,41.1425,-0.0554618,1.10346,1.10346,-0.0554618,136.53,200.349,3.07059,-1.048,394.207,119.259,1.41526,-0.993231,280.645,786.065,
1.05456,94.3589,30.9243,94.3589,30.9243,0.0365846,-1.00962,0.0365846,-1.00962,64.3747,122.67,2.93832,-0.973038,387.633,206.003,1.05456,-0.938887,182.467,869.813,
1.15461,315.882,64.8921,315.882,64.8921,-0.319057,0.523254,-0.319057,0.523254,251.196,311.951,3.07054,-0.204197,441.635,48.8828,1.15461,0.406993,395.616,311.635,
-2.2999,43.8748,62.9924,62.9924,43.8748,1.45709,-1.49466,-1.49466,1.45709,41.9762,239.109,2.41487,-0.0375761,132.737,108.869,-2.2999,1.92276,87.7554,1003.91,
-1.63083,63.792,84.1594,84.1594,63.792,-1.94921,1.94933,1.94933,-1.94921,93.455,517.075,1.79798,-0.000110471,206.291,99.1992,-1.63083,1.59254,164.933,734.858,
-1.56669,58.2543,139.994,139.994,58.2543,2.37653,0.0681089,0.0681089,2.37653,135.585,295.718,4.42593,2.30842,279.298,44.9291,-1.56669,1.58546,242.248,561.722,
1.79328,60.4724,87.8122,87.8122,60.4724,2.43827,-0.584121,-0.584121,2.43827,34.0319,345.749,2.86259,1.85415,449.6,387.973,1.79328,-0.354879,61.8717,1365.3,
-2.25592,95.9118,121.344,121.344,95.9118,-1.88243,1.57539,1.57539,-1.88243,107.699,618.207,4.15441,0.307042,103.697,32.5518,-2.25592,1.87035,132.755,451.113,
1.47269,94.8867,68.2424,94.8867,68.2424,2.11542,-0.874547,2.11542,-0.874547,46.9387,374.893,2.65663,1.24087,169.469,140.704,1.47269,-1.70136,29.0078,786.615,
0.126526,23.4898,84.2618,84.2618,23.4898,-1.84377,-1.69186,-1.69186,-1.84377,103.438,30.9331,0.692176,0.151908,543.047,185.367,0.126526,-1.5829,375.201,873.521,
2.29109,46.339,118.718,118.718,46.339,-1.9989,1.0812,1.0812,-1.9989,85.2892,359.07,2.52351,0.9177,41.5938,30.0732,2.29109,-2.34004,63.388,356.509,
-1.90248,47.4272,39.9853,47.4272,39.9853,-2.04775,1.24727,-2.04775,1.24727,85.9464,218.386,0.368164,0.800479,291.24,186.602,-1.90248,1.00132,173.84,1041.15,
0.134721,198.001,218.842,218.842,198.001,0.259381,-0.814219,-0.814219,0.259381,80.0552,471.465,3.51508,-0.554838,455.896,45.3815,0.134721,-0.344586,421.416,280.715,
2.44329,27.0774,96.1881,96.1881,27.0774,-2.10797,2.4724,2.4724,-2.10797,78.2422,507.901,2.40638,-0.364438,217.921,206.326,2.44329,-1.93154,41.7119,1913.16,
-1.69329,64.1467,46.248,64.1467,46.248,-1.58774,1.01495,-1.58774,1.01495,37.7023,212.372,2.52253,0.57279,182.031,83.5083,-1.69329,1.95318,113.067,781.419,
1.72474,196.338,187.69,196.338,187.69,-1.51833,1.11945,-1.51833,1.11945,17.156,769.006,3.2188,0.398884,187.799,57.9525,1.72474,-2.3847,132.219,827.259,
-2.1454,124.064,92.4018,124.064,92.4018,1.62828,-1.87865,1.62828,-1.87865,48.2998,635.776,2.79927,-0.250371,174.595,50.3893,-2.1454,0.581072,137.107,386.732,
1.16393,191.858,123.812,191.858,123.812,-0.994616,0.694572,-0.994616,0.694572,91.8826,420.374,2.73826,0.300044,250.823,34.3038,1.16393,-1.98259,229.03,460.681,
2.12661,214.749,71.9324,214.749,71.9324,-1.01815,1.39464,-1.01815,1.39464,145.562,451.616,2.91473,-0.376489,180.47,96.3944,2.12661,-0.409256,94.9953,504.086,
-0.391432,50.8601,56.3335,56.3335,50.8601,0.371749,-0.608379,-0.608379,0.371749,42.4564,112.552,3.94999,-0.23663,588.688,386.641,-0.391432,-0.403013,205.841,953.427,
1.23396,127.437,82.0594,127.437,82.0594,-1.22913,1.61873,-1.22913,1.61873,92.94,441.975,3.95717,-0.389597,151.68,128.575,1.23396,-2.04315,77.2944,742.424,
0.626146,87.5373,207.072,207.072,87.5373,1.12202,0.308815,0.308815,1.12202,132.562,286.154,2.71265,0.813208,198.194,79.2578,0.626146,0.783978,128.294,247.024,
1.95592,153.066,129.417,153.066,129.417,-0.231402,1.29999,-0.231402,1.29999,68.3666,362.489,3.60139,-1.06859,286.614,141.479,1.95592,-0.752639,151.979,830.968,
-0.240222,183.672,97.8189,183.672,97.8189,-0.103671,-2.48009,-0.103671,-2.48009,176.275,455.338,1.91811,-2.37642,457.267,97.2405,-0.240222,-0.438484,368.862,416.324,
-1.25445,107.047,42.1252,107.047,42.1252,-0.764836,-0.437331,-0.764836,-0.437331,66.4544,135.367,2.92989,0.327505,301.763,166.15,-1.25445,0.614813,161.733,652.252,
1.43653,137.589,49.1127,137.589,49.1127,2.12687,-1.71527,2.12687,-1.71527,88.9004,573.279,3.03604,0.411605,120.371,55.9498,1.43653,-2.31552,88.2514,545.012,
-0.133081,127.164,170.298,170.298,127.164,1.05119,-1.44857,-1.44857,1.05119,172.957,529.899,4.35238,-0.397376,335.667,161.47,-0.133081,1.17265,398.655,441.156,
1.38729,168.062,71.8171,168.062,71.8171,-0.750771,1.80438,-0.750771,1.80438,96.4199,424.759,3.08879,-1.05361,268.781,164.717,1.38729,-0.698725,151.538,662.225,
1.35174,26.135,121.658,121.658,26.135,-0.471218,1.0769,1.0769,-0.471218,123.133,126.294,1.62145,-0.605678,403.427,221.679,1.35174,-0.426664,238.171,836.586,
1.82997,177.952,21.0723,177.952,21.0723,-1.23041,2.48049,-1.23041,2.48049,168.849,396.266,2.07162,-1.25008,152.533,56.2981,1.82997,-0.1271,97.4473,281.4,
0.74847,58.4241,128.303,128.303,58.4241,-0.989796,0.96146,0.96146,-0.989796,72.3308,261.652,2.9255,0.0283368,379.99,316.813,0.74847,-0.960716,86.38,961.38,
-0.139847,297.151,255.083,297.151,255.083,0.68143,-0.549848,0.68143,-0.549848,79.3024,654.872,3.38638,0.131581,172.385,128.343,-0.139847,1.308,44.0635,379.024,
0.666023,20.8133,59.7692,59.7692,20.8133,1.77626,-0.821074,-0.821074,1.77626,49.0628,135.629,2.26848,0.955188,232.233,150.924,0.666023,-0.721799,111.577,462.08,
-0.879537,500.451,423.285,500.451,423.285,0.920701,-0.549904,0.920701,-0.549904,102.121,1178.87,3.28705,0.370797,168.185,128.24,-0.879537,1.14245,47.146,456.473,
-0.579153,230.063,282.133,282.133,230.063,-0.6352,1.60743,1.60743,-0.6352,53.1985,864.814,3.18438,-0.972231,119.238,74.8561,-0.579153,2.4941,72.1948,456.13,
-2.35244,108.473,160.642,160.642,108.473,1.41028,-1.50856,-1.50856,1.41028,52.3562,598.737,3.10807,-0.0982732,124.799,104.013,-2.35244,0.547385,51.1561,510.431,
-1.06662,141.239,62.7094,141.239,62.7094,-0.0221003,0.975806,-0.0221003,0.975806,137.069,179.955,1.86242,-0.953706,410.395,207.172,-1.06662,1.85866,445.843,1265.69,
2.2678,76.2775,52.7804,76.2775,52.7804,-1.95048,2.09189,-1.95048,2.09189,27.9489,487.049,2.90251,-0.141414,118.847,117.664,2.2678,-2.04471,117.17,1028.65,
-2.11675,64.0975,64.6692,64.6692,64.0975,-1.21773,1.44229,1.44229,-1.21773,13.7101,260.104,2.92843,-0.224559,174.733,160.147,-2.11675,1.27554,72.742,940.204,
0.657961,30.1836,222.439,222.439,30.1836,0.214467,-1.96281,-1.96281,0.214467,211.875,255.915,1.99273,-1.74834,295.729,167.038,0.657961,-2.07342,147.545,924.859,
0.874069,236.092,90.7804,236.092,90.7804,-1.15474,1.3363,-1.15474,1.3363,147.03,550.374,2.98836,-0.181552,430.732,239.677,0.874069,-0.77875,207.634,871.095,
-0.0169036,103.424,152.928,152.928,103.424,0.388698,2.16143,2.16143,0.388698,83.0769,350.684,3.67851,-1.77274,239.298,89.6944,-0.0169036,2.39208,175.52,524.66,
-0.696497,103.467,100.723,103.467,100.723,2.24172,-1.13028,2.24172,-1.13028,80.8312,564.203,3.95519,1.11145,85.3666,34.1644,-0.696497,2.40739,83.044,258.422,
1.40519,113.468,148.898,148.898,113.468,0.90814,-1.30823,-1.30823,0.90814,70.7256,432.299,3.61698,-0.400092,241.26,78.8816,1.40519,-0.963667,179.742,487.241,
-1.35185,104.19,47.4893,104.19,47.4893,-1.47059,2.14576,-1.47059,2.14576,86.7297,435.652,4.11224,-0.675168,202.454,131.596,-1.35185,2.20864,115.894,991.466,
0.911467,118.816,103.29,118.816,103.29,-1.68752,0.654776,-1.68752,0.654776,24.8527,391.209,2.96619,1.03274,145.991,94.3461,0.911467,-0.628144,58.3901,306.731,
-1.33309,39.5739,277.156,277.156,39.5739,-1.31644,0.781329,0.781329,-1.31644,245.716,329.727,2.53363,0.535111,132.069,37.4516,-1.33309,0.27155,110.881,179.902,
0.338448,100.465,131.352,131.352,100.465,-1.12152,-0.278524,-0.278524,-1.12152,32.9067,250.205,3.04275,0.842995,375.568,257.104,0.338448,-1.48503,121.777,897.801,
-0.66866,157.505,68.1902,157.505,68.1902,1.05658,1.99032,1.05658,1.99032,222.326,107.584,0.37714,-0.933742,753.851,60.347,-0.66866,0.783542,712.149,519.719,
-1.61989,154.727,61.4102,154.727,61.4102,-1.77914,1.11411,-1.77914,1.11411,106.322,434.12,2.61273,0.665026,233.664,95.0711,-1.61989,1.37427,157.979,695.351,
-1.00467,344.322,316.515,344.322,316.515,-0.589637,-1.1846,-0.589637,-1.1846,82.9329,685.243,2.90436,-0.594966,138.694,36.0042,-1.00467,-0.254706,108.696,147.75,
-0.805417,124.411,31.4257,124.411,31.4257,-0.519128,-0.226116,-0.519128,-0.226116,95.0403,124.862,3.45724,0.293013,70.6127,51.3076,-0.805417,-1.08626,20.0756,121.826,
-1.45039,65.3345,107.96,107.96,65.3345,-2.41578,1.58155,1.58155,-2.41578,56.6257,630.023,3.58916,0.834233,166.169,98.5013,-1.45039,1.73162,83.7253,652.276,
-1.31125,209.238,46.2809,209.238,46.2809,-2.24308,1.33952,-2.24308,1.33952,255.44,573.791,0.0644586,0.903564,288.644,164.425,-1.31125,0.958209,304.891,693.934,
1.56449,137.832,115.917,137.832,115.917,0.249246,-0.738213,0.249246,-0.738213,117.179,259.893,4.08711,-0.488967,236.95,117.794,1.56449,-2.31722,353.219,1140.09,
-0.0860237,157.377,84.213,157.377,84.213,-0.389864,-0.881688,-0.389864,-0.881688,106.249,224.383,2.45919,-0.491825,258.848,236.518,-0.0860237,-0.655542,120.471,501.365,
-2.17277,26.7768,105.467,105.467,26.7768,0.139212,-1.2144,-1.2144,0.139212,79.4222,131.13,2.93886,-1.07519,259.084,143.108,-2.17277,1.28767,115.989,1120.56,
-0.343944,101.022,98.0249,101.022,98.0249,-1.44555,-1.07986,-1.44555,-1.07986,67.4619,190.808,3.83251,0.36569,606.649,308.074,-0.343944,-1.57361,298.923,1033.2,
-0.757074,33.8721,28.0582,33.8721,28.0582,1.26877,-0.280601,1.26877,-0.280601,61.643,53.0231,0.193549,0.988165,625.435,182.719,-0.757074,1.14076,578.362,932.579,
0.942336,263.247,113.146,263.247,113.146,0.59504,-1.70479,0.59504,-1.70479,153.666,598.755,2.95063,-1.10975,264.557,96.3257,0.942336,-0.79475,177.989,443.808,
-0.0766113,44.1941,422.26,422.26,44.1941,-0.0998564,-0.470477,-0.470477,-0.0998564,408.155,231.479,4.33749,-0.370621,678.205,568.768,-0.0766113,0.115165,331.217,1208.12,
-1.4101,142.126,45.7222,142.126,45.7222,-0.190102,-1.03827,-0.190102,-1.03827,112.395,166.18,2.40845,-0.848165,117.734,74.8422,-1.4101,0.650907,43.9036,296.615,
-1.22208,128.61,46.6784,128.61,46.6784,2.0349,-2.44761,2.0349,-2.44761,82.6591,736.876,3.28291,-0.412712,172.06,69.4123,-1.22208,1.31734,150.69,405.108,
0.229026,109.782,501.507,501.507,109.782,1.12753,-1.41661,-1.41661,1.12753,391.831,902.967,3.1027,-0.289086,123.276,73.2549,0.229026,-2.06966,55.9192,329.251,
-0.788772,201.444,337.818,337.818,201.444,0.192995,-1.06527,-1.06527,0.192995,179.781,617.423,2.68867,-0.872277,115.643,90.9593,-0.788772,0.688439,97.0481,246.585,
-0.926356,27.4102,50.8944,50.8944,27.4102,-0.730241,1.52548,1.52548,-0.730241,54.8483,117.435,1.69051,-0.795239,779.141,625.027,-0.926356,0.782265,192.257,1933.35,
1.21,161.385,51.9164,161.385,51.9164,-1.33244,2.24016,-1.33244,2.24016,109.541,561.543,3.09799,-0.907719,304.433,99.8303,1.21,-1.66546,215.668,772.597,
-1.11464,224.513,237.32,237.32,224.513,1.09911,-0.668585,-0.668585,1.09911,16.2065,653.949,3.09857,0.430529,265.773,42.6068,-1.11464,1.2132,254.272,353.859,
0.914674,36.4796,56.3689,56.3689,36.4796,-1.82405,1.44319,1.44319,-1.82405,57.9579,234.91,4.42921,0.380869,237.47,64.0399,0.914674,-1.22402,189.815,394.288,
-1.28687,342.424,139.112,342.424,139.112,0.460315,-1.89856,0.460315,-1.89856,204.101,776.779,3.22372,-1.43824,334.694,163.225,-1.28687,0.311764,196.223,617.706,
-0.697328,32.142,92.9659,92.9659,32.142,0.685766,-1.75048,-1.75048,0.685766,85.0447,191.987,1.99195,-1.06472,71.9637,55.3976,-0.697328,1.16189,71.3838,171.623,
-0.717812,322.364,278.799,322.364,278.799,-0.477324,0.951929,-0.477324,0.951929,56.4715,758.46,3.26152,-0.474606,205.281,67.4059,-0.717812,1.11006,148.087,336.397,
2.0256,143.931,74.0198,143.931,74.0198,2.18438,-1.73944,2.18438,-1.73944,78.4744,747.836,3.48868,0.444946,177.51,165.415,2.0256,-0.744738,19.4207,727.47,
0.283804,149.331,503.991,503.991,149.331,-0.164455,-0.439716,-0.439716,-0.164455,380.692,536.322,3.65143,-0.275261,725.513,55.583,0.283804,-0.590995,749.892,284.546,
1.82773,102.993,162.483,162.483,102.993,-1.97448,1.89109,1.89109,-1.97448,76.5722,911.181,2.76672,0.0833873,231.178,164.215,1.82773,-1.3155,67.5923,978.53,
2.02105,91.408,34.8254,91.408,34.8254,-0.501524,2.05714,-0.501524,2.05714,74.2933,213.118,4.02318,-1.55562,272.356,94.6714,2.02105,-0.694251,185.867,663.425,
-0.0132249,299.913,24.8572,299.913,24.8572,-0.715088,-0.0999038,-0.715088,-0.0999038,301.577,132.056,1.54512,0.615184,594.071,86.0493,-0.0132249,-0.0702061,508.067,452.555,
-0.901288,59.3836,84.9704,84.9704,59.3836,-1.11521,2.01144,2.01144,-1.11521,28.6849,353.804,2.95879,-0.896227,103.743,48.323,-0.901288,2.28473,65.2848,361.136,
-0.202545,211.418,135.849,211.418,135.849,-0.494546,0.635816,-0.494546,0.635816,204.597,345.702,4.33265,-0.14127,607.556,151.907,-0.202545,0.489111,503.138,608.039,
-1.50658,292.115,369.708,369.708,292.115,-1.34944,0.821997,0.821997,-1.34944,98.2014,1082.55,2.95818,0.527444,287.439,106.072,-1.50658,1.33848,181.392,766.394,
-1.09407,65.4496,116.924,116.924,65.4496,-1.12793,1.44809,1.44809,-1.12793,174.785,297.624,0.604289,-0.320159,368.907,149.73,-1.09407,1.91321,224.455,1108.39,
1.90736,122.782,168.221,168.221,122.782,1.74201,-1.48068,-1.48068,1.74201,46.3968,748.588,3.20689,0.261331,167.742,53.4217,1.90736,-2.35857,114.693,810.169,
0.349241,71.4971,126.015,126.015,71.4971,-0.238873,-1.36403,-1.36403,-0.238873,83.3759,211.473,2.46412,-1.12516,436.639,34.5694,0.349241,-2.146,406.211,459.593,
0.989088,195.981,335.816,335.816,195.981,1.47144,-1.17404,-1.17404,1.47144,145.258,1030.57,3.29502,0.297398,214.868,49.8628,0.989088,-0.895217,180.832,297.079,
0.928781,118.917,38.0094,118.917,38.0094,-1.19727,0.933673,-1.19727,0.933673,92.1768,213.768,3.81092,0.263596,489.748,203.202,0.928781,-1.8275,287.482,1330.95,
-0.286404,104.057,99.2161,104.057,99.2161,-0.673518,-1.76083,-0.673518,-1.76083,77.6307,220.794,3.92393,-1.08731,404.269,154.674,-0.286404,-1.97947,270.95,682.247,
-1.1898,68.4923,83.3311,83.3311,68.4923,-1.38186,1.84129,1.84129,-1.38186,19.408,393.427,2.97582,-0.459433,204.632,85.278,-1.1898,1.05851,120.05,449.424,
-1.75884,47.1494,76.3167,76.3167,47.1494,1.12704,-2.30379,-2.30379,1.12704,49.0996,341.977,3.81255,-1.17675,203.2,132.296,-1.75884,1.53638,114.532,878.722,
0.836986,33.408,183.164,183.164,33.408,0.973221,-1.86236,-1.86236,0.973221,161.599,336.426,2.34438,-0.889141,301.525,203.083,0.836986,-2.07611,147.03,1114.24,
-2.05898,249.412,206.274,249.412,206.274,-2.38518,-0.0619754,-2.38518,-0.0619754,43.5494,795.667,3.11524,2.3232,98.9897,84.1119,-2.05898,-0.682109,58.1752,220.731,
-0.642319,99.0285,135.725,135.725,99.0285,-0.396358,2.09532,2.09532,-0.396358,77.1981,431.004,2.54704,-1.69896,340.006,80.9728,-0.642319,-2.32434,259.449,456.156,
-2.09719,236.862,134.761,236.862,134.761,-1.84036,-0.664479,-1.84036,-0.664479,127.61,413.861,2.70979,1.17588,178.382,120.605,-2.09719,-0.67394,114.149,357.742,
-0.935002,107.408,81.3202,107.408,81.3202,0.452732,2.15372,0.452732,2.15372,72.437,249.711,3.88141,-1.70099,416.016,48.6172,-0.935002,2.05632,383.594,657.389,
1.63158,177.16,67.5809,177.16,67.5809,-1.14198,1.35884,-1.14198,1.35884,151.344,400.007,4.13613,-0.216851,293.133,144.045,1.63158,0.426901,254.797,442.068,
-0.774151,215.689,202.42,215.689,202.42,0.748504,-0.405599,0.748504,-0.405599,51.7929,486.861,2.90142,0.342905,212.645,68.6156,-0.774151,0.480361,150.006,287.887,
-0.36502,108.052,191.279,191.279,108.052,-0.667255,2.14006,2.14006,-0.667255,83.2978,620.439,3.16553,-1.4728,88.2884,71.4839,-0.36502,1.26816,38.0306,212.369,
1.6313,260.961,95.0788,260.961,95.0788,1.04191,-0.895934,1.04191,-0.895934,194.896,463.7,2.48008,0.145978,371.558,63.1111,1.6313,-1.64919,431.438,761.878,
2.45732,98.5494,77.2975,98.5494,77.2975,-2.00851,2.13308,-2.00851,2.13308,27.0872,703.023,2.94886,-0.124568,67.2217,55.1797,2.45732,-1.22032,107.62,378.062,
0.804286,135.411,190.914,190.914,135.411,-0.235457,2.31256,2.31256,-0.235457,136.572,607.112,2.34456,-2.0771,369.371,210.74,0.804286,-2.07836,534.527,1135.76,
-2.05576,64.1078,105.967,105.967,64.1078,0.999405,-1.80382,-1.80382,0.999405,44.34,354.767,2.96394,-0.80442,107.881,60.7583,-2.05576,1.40555,89.5851,465.255,
1.99918,156.724,23.1828,156.724,23.1828,-1.11111,1.76825,-1.11111,1.76825,147.151,261.408,4.21822,-0.657147,120.689,91.5984,1.99918,-1.92113,74.9422,758.287,
